,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,Meditation,Attention
380,669310,244082,73742,87205,17733,19453,10820,5897,67,67
381,97149,106923,62172,9530,9058,3367,1737,643,70,51
382,171319,21273,5613,5771,12840,3190,3729,835,75,48
383,233843,22676,21675,15880,5683,4440,2492,739,81,51
384,1185637,154500,34248,80539,32124,13468,6373,7456,81,51
385,186988,87407,2437,5644,6903,2508,1141,997,63,54
386,377164,167951,27718,62639,22994,13295,6896,5420,67,47
387,518341,1093993,68001,73227,25261,31297,13990,19493,47,35
388,1831750,1573745,224615,100294,129336,70366,23274,11163,34,30
389,337459,35804,9527,7100,9357,5765,1441,848,48,48
390,1928797,205833,67314,37597,7673,27031,7442,2498,47,56
391,2079262,576715,402779,37469,94894,131950,46560,14740,61,77
392,183001,33426,14229,9622,3845,4067,1859,350,74,84
393,712131,495866,309072,240131,102121,108984,24030,14400,81,83
394,1571972,202902,33730,66282,58978,8272,6072,4683,80,69
395,447541,249435,9608,1651,8469,4909,1155,689,53,44
396,589049,187534,23966,19334,27781,8688,8665,5854,43,37
397,1235373,55944,11567,14928,35375,16744,4980,3538,29,44
398,2076118,115414,18229,42768,9163,12556,4671,6282,30,56
399,311303,291229,105889,24680,29163,23056,17569,7503,54,69
400,669440,252484,54640,40546,41601,20812,9947,3449,57,77
401,1161315,89564,35110,40156,28906,9199,4117,6699,67,60
402,141212,56623,7187,11526,6752,3208,1853,442,64,53
403,2396886,887325,175941,43572,62093,60531,10477,9662,57,51
404,705096,1296295,317228,39071,190731,91908,11972,11499,54,51
405,1282247,599530,73954,30481,26353,24467,4015,8155,41,47
406,658934,229109,75465,35891,20418,12917,5246,1961,44,44
407,240180,512843,70092,49534,23598,10230,4297,4479,44,29
408,496847,377900,46417,42704,36370,12438,6550,1856,43,20
409,118616,49473,7498,9808,8669,4308,1615,473,50,27
410,935123,283236,95279,71887,24767,7943,2905,2348,53,20
411,200299,34325,11108,23385,1356,2098,688,720,67,27
412,1669329,818621,142956,74019,56077,60317,9797,10100,69,37
413,470094,174476,30121,16523,28661,8372,3123,2760,66,30
414,615018,246122,82299,21063,14562,9726,8653,3098,63,38
415,570534,298141,49545,16522,16549,14431,5887,4889,48,41
416,1569899,1191429,152918,21617,37216,31306,14468,10979,43,29
417,13614,72720,789,8879,1837,1693,1624,1278,37,21
418,734457,154869,12044,5135,26693,5845,4942,2073,24,24
419,273627,397494,138398,60425,113956,38065,12617,10658,24,24
420,1266830,30967,2772,1301,9868,7586,4937,2401,24,24
421,406129,79959,63038,13472,10861,6353,3534,1995,38,24
422,382453,70594,4429,3625,8336,2749,722,1025,38,24
423,383351,139941,16603,37852,14083,9401,10820,747,48,34
424,660852,83568,22353,3055,8289,6383,5847,1209,56,47
425,143591,74610,26561,13646,26135,8121,4831,2455,67,54
426,1562301,362873,93995,149660,43859,40652,19498,7356,64,60
427,1337744,377144,83790,57467,83806,19865,19624,4350,63,54
428,613401,45596,3783,8656,40436,5673,2579,1882,54,61
429,733677,419225,206447,42686,50615,29165,21091,4358,57,56
430,469735,79635,8679,35861,5449,6670,4667,1501,56,53
431,1156888,121282,143083,21835,80227,46879,10147,3549,64,70
432,46176,34959,3238,1630,3743,2388,1074,180,63,66
433,108833,78673,16615,10225,15804,8540,3495,1076,56,75
434,221577,61893,21564,13886,12539,16726,2730,1217,54,90
435,689138,45317,6219,6790,6214,6923,1822,1989,44,87
436,821118,2256585,466578,208564,213314,55358,20126,36321,53,70
437,614551,825674,109557,8836,31474,16687,8348,4652,47,53
438,180881,107233,19488,17234,11841,3518,3166,1581,43,27
439,519705,63507,9059,12112,4428,12903,2343,1116,47,30
440,1087461,196250,50707,124581,50979,33528,14198,7120,53,51
441,1798877,2165621,297168,139956,103389,87690,32537,27808,56,57
442,1328967,196279,118929,15670,53831,27474,10757,7564,61,74
443,855848,2025666,337512,395464,273750,134826,85812,13189,63,60
444,306415,66535,27286,37258,10120,8364,3546,1669,66,54
445,524767,54214,24683,18310,6581,10786,2978,1007,77,69
446,380914,334231,80794,44385,37174,16338,12656,3534,74,60
447,2086530,711503,26997,31705,60129,16806,9741,7541,60,50
448,2219425,1044468,90587,277121,146122,78993,24972,43557,50,50
449,686800,142602,53732,33381,15274,28774,23403,3367,48,50
450,63180,86021,22188,5336,11040,10957,3663,2125,44,63
451,583060,1000299,17110,12549,42397,51204,11579,5310,37,70
452,310525,108713,27801,11032,4337,10590,2931,931,37,74
453,1272231,147937,147902,7752,33316,33193,9576,11648,41,70
454,173557,70708,20220,14983,8040,5002,3244,933,48,63
455,800844,224386,16390,31487,49613,32735,8710,7956,64,75
456,313736,48780,3416,3491,9769,6184,3417,1034,54,80
457,1884589,333814,36802,35527,72513,21235,9173,2476,40,70
458,749860,217945,92832,172224,50450,40540,17216,4643,48,77
459,1097061,415996,97527,27639,12035,33089,16324,5894,53,69
460,243384,157170,968,2455,15652,9828,1565,1639,40,61
461,2391835,2115938,666183,284089,110305,102233,42783,34405,50,56
462,1163372,447246,100599,33425,31612,27888,12393,4777,40,51
463,68031,61755,21084,9793,10741,5968,1583,1833,44,51
464,20198,57929,19842,9209,4542,4121,1676,922,70,48
