,Time,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,Meditation,Attention
31,2020.3.8.14.56.14,437189,213833,14496,23443,23038,10894,11915,11337,67,53
32,2020.3.8.14.56.15,2260421,303323,39715,39079,22603,19014,17821,7098,60,26
33,2020.3.8.14.56.16,1469385,153898,89991,76754,43758,35795,21089,13941,66,20
34,2020.3.8.14.56.17,553644,30021,3507,25255,4130,10086,4445,2555,66,53
35,2020.3.8.14.56.18,1520681,105535,4492,11212,62269,36246,17123,22342,61,83
36,2020.3.8.14.56.19,369233,197122,38143,26018,43754,32998,30552,32315,61,97
37,2020.3.8.14.56.20,166056,18585,26774,11830,5160,3946,2832,3682,66,91
38,2020.3.8.14.56.21,80751,15954,7685,3739,7708,11063,13832,6237,60,100
39,2020.3.8.14.56.22,711289,396545,88698,25049,10314,12021,46272,18255,69,60
40,2020.3.8.14.56.23,230797,123068,13959,17731,6917,21903,44507,11219,69,56
41,2020.3.8.14.56.24,1165636,416746,65081,30037,34751,21153,46877,17589,53,44
42,2020.3.8.14.56.25,141813,21931,30472,8513,4566,6120,5606,2343,64,24
43,2020.3.8.14.56.26,77458,12216,7577,2528,12663,7823,10320,3011,64,64
44,2020.3.8.14.56.27,312635,56614,34999,9105,4420,3020,5292,2691,75,43
45,2020.3.8.14.56.28,982783,79632,34989,31734,19313,49915,17929,25386,81,75
46,2020.3.8.14.56.29,2081312,509791,41237,65463,71436,31709,19681,65177,64,66
47,2020.3.8.14.56.30,319757,322826,35747,83607,43401,28299,11967,14333,64,40
48,2020.3.8.14.56.31,2134575,75094,46541,18516,33708,21498,41844,27592,63,63
49,2020.3.8.14.56.32,1763083,143117,24804,33047,13432,11296,9677,4573,61,38
50,2020.3.8.14.56.33,1570196,627145,10137,56386,16220,15646,9075,8257,56,26
51,2020.3.8.14.56.34,1703188,34160,25229,15846,26494,25002,9043,3357,56,26
52,2020.3.8.14.56.35,817571,459808,291989,172072,68981,92026,48940,18105,56,26
53,2020.3.8.14.56.36,137288,13619,6955,26489,21110,13574,11230,5507,56,26
54,2020.3.8.14.56.37,1085334,483796,133315,74750,56536,23112,4890,3353,56,26
55,2020.3.8.14.56.38,572117,67707,64006,17127,37225,58489,10184,2157,56,26
56,2020.3.8.14.56.39,1351869,38591,12862,18695,12064,7058,5077,1742,56,26
57,2020.3.8.14.56.40,760228,26908,37674,22219,5213,14064,4357,1891,69,40
58,2020.3.8.14.56.41,1074878,13604,5028,30550,5976,6747,3490,4982,78,38
59,2020.3.8.14.56.42,928153,177253,85244,17148,8096,16706,16890,13543,81,40
60,2020.3.8.14.56.43,492906,188475,44841,14137,8820,11812,8870,5888,90,48
61,2020.3.8.14.56.44,1374593,52157,6563,17136,17189,3189,2411,2292,90,48
62,2020.3.8.14.56.45,473198,114520,22105,5738,4845,7073,2576,3921,75,30
63,2020.3.8.14.56.46,1155235,304865,190624,49714,62373,39799,17252,7087,66,21
64,2020.3.8.14.56.47,1638147,361528,48549,64663,49574,17752,11658,16349,61,14
65,2020.3.8.14.56.48,864570,39498,41649,3977,4903,6086,3970,8675,70,20
66,2020.3.8.14.56.49,916189,107158,11902,18094,7817,6015,4793,2813,70,17
67,2020.3.8.14.56.50,871250,236578,40703,26013,17836,14340,8103,4188,64,13
68,2020.3.8.14.56.51,2401409,77579,59851,20107,15942,7937,8647,2789,75,17
69,2020.3.8.14.56.52,236147,17901,9201,5759,2708,1170,497,692,70,8
70,2020.3.8.14.56.53,1847926,57076,49948,49829,15836,39841,15798,10007,83,34
71,2020.3.8.14.56.54,126729,144444,13326,39368,31205,15642,16314,8089,83,41
72,2020.3.8.14.56.55,49153,41125,7934,1121,893,1290,839,662,74,30
73,2020.3.8.14.56.56,273179,201932,45700,64800,25248,14275,23864,11842,69,35
74,2020.3.8.14.56.57,905713,90746,11405,29132,8111,9278,7009,2073,61,16
75,2020.3.8.14.56.58,240898,67318,26761,23702,9045,19604,12780,6436,66,26
76,2020.3.8.14.56.59,78101,22740,10001,10882,3448,2265,1620,2270,78,37
77,2020.3.8.14.57.0,1563523,167887,25175,37498,21988,21127,10676,6635,75,47
78,2020.3.8.14.57.1,160299,55927,6613,18914,6732,7333,5068,1462,75,51
79,2020.3.8.14.57.2,345298,30100,7461,6213,3587,3184,810,372,70,40
80,2020.3.8.14.57.3,492336,238801,43788,12288,18321,15937,8308,5622,60,41
81,2020.3.8.14.57.4,99987,37267,5208,11485,2917,8049,2848,3261,61,48
82,2020.3.8.14.57.5,1157057,322070,11776,15869,28567,15569,20407,18290,48,38
83,2020.3.8.14.57.6,1257508,390400,91202,55563,53488,12662,11218,5790,48,21
84,2020.3.8.14.57.7,651381,51700,21671,11566,6633,10090,6633,1516,56,30
85,2020.3.8.14.57.8,95635,26278,25045,906,1558,3656,2633,2273,61,21
86,2020.3.8.14.57.9,305294,10894,1561,4007,1068,1171,579,524,75,26
87,2020.3.8.14.57.10,1396055,108468,26991,9773,36018,10688,13424,6894,74,43
88,2020.3.8.14.57.11,1155430,149888,95999,41955,34091,23894,8868,4091,75,40
89,2020.3.8.14.57.12,426795,7431,1811,1042,2969,3288,517,503,64,57
90,2020.3.8.14.57.13,23380,19214,4512,7659,7343,3686,1353,2129,64,66
91,2020.3.8.14.57.14,23571,5650,4074,1181,1284,897,791,229,74,67
92,2020.3.8.14.57.15,905963,193563,39811,19736,18107,19796,7633,5168,64,66
93,2020.3.8.14.57.16,276546,49470,3189,9456,8172,6337,1716,1353,63,51
94,2020.3.8.14.57.17,530147,35107,1395,4169,3633,3619,2278,1056,54,48
95,2020.3.8.14.57.18,1801641,40028,18244,24237,12294,7688,1883,1660,54,50
96,2020.3.8.14.57.19,189927,55520,5467,2345,3396,773,917,529,50,30
97,2020.3.8.14.57.20,515433,84526,84242,17619,32091,16556,7243,7068,61,35
98,2020.3.8.14.57.21,505213,163116,7806,26902,12736,4982,1491,904,64,21
99,2020.3.8.14.57.22,683172,74081,35570,8808,7083,2500,820,1133,61,4
100,2020.3.8.14.57.23,567999,161796,2047,17595,4827,13489,2903,4308,60,26
101,2020.3.8.14.57.24,576297,29970,31603,10522,15213,4973,1573,1487,61,23
102,2020.3.8.14.57.25,2021775,167049,62560,55929,61673,10702,9473,5838,69,27
103,2020.3.8.14.57.26,54429,71630,30278,35675,10221,17261,8738,3357,70,50
104,2020.3.8.14.57.27,77077,21760,4535,11260,1733,710,398,181,88,34
105,2020.3.8.14.57.28,27784,126759,43254,13909,36107,23116,13308,5831,78,40
106,2020.3.8.14.57.29,962199,317715,11307,9271,26090,33336,7746,3549,61,53
107,2020.3.8.14.57.30,304369,150289,34890,10372,38007,23175,7188,4402,51,53
108,2020.3.8.14.57.31,1459582,253809,51890,38500,48567,26393,5957,5679,43,69
109,2020.3.8.14.57.32,1855219,100511,37044,27042,15753,15313,8741,4582,47,64
110,2020.3.8.14.57.33,647915,22655,2135,5278,3240,7278,2092,542,57,75
111,2020.3.8.14.57.34,82711,25144,1255,11033,10036,4745,2616,719,61,75
112,2020.3.8.14.57.35,250189,130582,46614,29102,13345,13750,4861,4656,66,75
113,2020.3.8.14.57.36,367780,298386,27067,29675,5101,11470,5144,2852,57,63
114,2020.3.8.14.57.37,1468068,178577,26395,27957,10846,8473,2410,1381,60,40
115,2020.3.8.14.57.38,360189,359091,60009,5331,18528,27813,10310,12050,54,34
116,2020.3.8.14.57.39,952960,106255,47477,43700,62709,21736,6228,4797,54,34
117,2020.3.8.14.57.40,71371,6986,13119,4489,3824,3018,1208,3512,61,40
118,2020.3.8.14.57.41,2763089,1327680,13450,44691,37664,49623,14602,6473,61,40
119,2020.3.8.14.57.42,692283,47201,16413,6748,27229,5536,2979,1290,66,48
120,2020.3.8.14.57.43,956979,211150,61023,28302,30569,25816,12522,15245,66,57
121,2020.3.8.14.57.44,50198,9455,5443,2858,3780,4070,2218,2352,77,74
122,2020.3.8.14.57.45,25023,69942,1176,8909,4153,5562,3519,947,56,66
123,2020.3.8.14.57.46,720836,32434,1951,3325,3370,4471,5423,1021,50,70
124,2020.3.8.14.57.47,194531,125173,27937,48530,25730,24047,8130,8173,54,77
125,2020.3.8.14.57.48,279338,5597,5072,2880,2299,3923,1507,1673,56,80
126,2020.3.8.14.57.49,167484,52887,19217,7575,3207,2001,1977,1122,67,67
127,2020.3.8.14.57.50,391198,162441,37834,17184,20523,23211,2060,7757,74,66
128,2020.3.8.14.57.51,93453,83830,11138,8825,9285,3536,3462,2467,67,51
129,2020.3.8.14.57.52,2038741,197377,44852,36806,79193,58955,10977,6184,57,48
130,2020.3.8.14.57.53,48297,11417,2849,562,496,421,185,134,53,48
131,2020.3.8.14.57.54,765647,298790,63930,5037,19904,15139,9139,5497,51,38
132,2020.3.8.14.57.55,963048,274641,66178,6088,32745,15922,11285,6528,51,41
133,2020.3.8.14.57.56,884191,15478,856,5935,2581,1508,536,159,56,27
134,2020.3.8.14.57.57,723994,21580,3551,2379,1146,1246,758,269,54,34
135,2020.3.8.14.57.58,49332,15323,3372,2845,604,1381,489,208,60,38
136,2020.3.8.14.57.59,555583,54117,35987,31199,36402,8866,2932,2731,67,43
137,2020.3.8.14.58.0,157762,66869,9909,13179,17766,12642,1738,1222,66,53
138,2020.3.8.14.58.1,1024867,107066,15633,14278,7131,6636,1490,936,66,53
139,2020.3.8.14.58.2,69277,13558,9800,5220,12335,6554,2343,677,67,67
140,2020.3.8.14.58.3,233099,186869,15032,4712,7462,4673,7183,3306,51,54
141,2020.3.8.14.58.4,947633,90226,7035,4896,5799,12754,2153,2297,44,53
142,2020.3.8.14.58.5,461501,62205,9875,16252,7595,6713,2261,811,47,60
143,2020.3.8.14.58.6,1149391,236928,93009,22400,49331,10912,12480,4385,44,37
144,2020.3.8.14.58.7,352525,91289,15367,22293,1991,4272,2874,631,56,40
145,2020.3.8.14.58.8,2058336,829169,109539,31153,17050,9857,13586,1787,60,13
146,2020.3.8.14.58.9,481635,61898,103385,14952,16625,10991,12455,1219,74,10
147,2020.3.8.14.58.10,382975,68987,36205,23610,12239,9793,5550,1737,77,20
148,2020.3.8.14.58.11,324482,63869,17446,1538,4043,1697,1664,812,74,16
149,2020.3.8.14.58.12,48473,29446,2655,15486,5610,4126,975,828,81,41
150,2020.3.8.14.58.13,222121,27460,6039,1323,2181,2752,905,791,66,44
151,2020.3.8.14.58.14,344049,60265,53880,11781,13860,12899,10172,2782,69,47
152,2020.3.8.14.58.15,158810,35973,28610,6864,4555,3145,2066,1148,78,56
153,2020.3.8.14.58.16,1392837,197304,18210,25229,23941,22366,3832,2986,69,54
154,2020.3.8.14.58.17,502567,61328,29394,11550,6199,2252,1930,616,78,41
155,2020.3.8.14.58.18,179914,34501,21974,3544,3769,2630,1763,944,75,34
156,2020.3.8.14.58.19,335304,75848,4646,2103,6083,2557,1238,554,56,27
157,2020.3.8.14.58.20,525772,57952,10584,22785,15602,8037,3054,4576,64,27
158,2020.3.8.14.58.21,185961,47104,16848,4867,2899,616,1458,515,61,17
159,2020.3.8.14.58.22,415541,207870,5873,36415,29249,14261,9685,1884,50,21
160,2020.3.8.14.58.23,71138,6978,3533,1384,812,1239,579,341,66,37
